# time (s), x coordinate (m), y coordinate (m)
5.328000000000000682e+02,6.817603821924342000e+00,9.157631189710345510e+00
5.363999999999999773e+02,6.755506561846790881e+00,9.194386566103824876e+00
5.400000000000000000e+02,6.692352433170642989e+00,9.229531226419409151e+00
5.436000000000000227e+02,6.628300285286624849e+00,9.263234532096129570e+00
5.472000000000000455e+02,6.563506036686909795e+00,9.295671708222203122e+00
5.508000000000000682e+02,6.498121983803462953e+00,9.327023008382528957e+00
5.543999999999999773e+02,6.432296135404705240e+00,9.357472848750052918e+00
5.580000000000000000e+02,6.366171575572224128e+00,9.387208915111113328e+00
5.616000000000000227e+02,6.299885858132478589e+00,9.416421246674994805e+00
5.652000000000000455e+02,6.233570435257905551e+00,9.445301300661416377e+00
5.688000000000000682e+02,6.167350122778298527e+00,9.474041001786314808e+00
5.723999999999999773e+02,6.101342604557728144e+00,9.502831780874920753e+00
5.760000000000000000e+02,6.035657978095254173e+00,9.531863606921294974e+00
5.796000000000000227e+02,5.970398343300478139e+00,9.561324016984636742e+00
5.832000000000000455e+02,5.905657436178482378e+00,9.591397148364135816e+00
5.868000000000000682e+02,5.841520308933816352e+00,9.622262777525630639e+00
5.903999999999999773e+02,5.778063057771388955e+00,9.654095370264759168e+00
5.940000000000000000e+02,5.715352599434007530e+00,9.687063147581739031e+00
5.976000000000000227e+02,5.653446497273607818e+00,9.721327171713282311e+00
6.012000000000000455e+02,5.592392837406608308e+00,9.757040456716341126e+00
6.048000000000000682e+02,5.532230155254884707e+00,9.794347107927226403e+00
6.083999999999999773e+02,5.472987412523623085e+00,9.833381494528115496e+00
6.120000000000000000e+02,5.414684024416994035e+00,9.874267459340899222e+00
6.156000000000000227e+02,5.357329936643565382e+00,9.917117569836758406e+00
6.192000000000000455e+02,5.300925751516677664e+00,9.962032414198748853e+00
6.228000000000000682e+02,5.245462902212073786e+00,1.000909994610468345e+01
6.263999999999999773e+02,5.190923874006717398e+00,1.005839488170934182e+01
6.300000000000000000e+02,5.137282471090824032e+00,1.010997815209958262e+01
6.336000000000000227e+02,5.084504127319819489e+00,1.016389641427316626e+01
6.372000000000000455e+02,5.032546259056491778e+00,1.022018162345430881e+01
6.408000000000000682e+02,4.981358658045892618e+00,1.027885066930552327e+01
6.443999999999999773e+02,4.930883922068847625e+00,1.033990507832877270e+01
6.480000000000000000e+02,4.881057920933933758e+00,1.040333078446916737e+01
6.516000000000000227e+02,4.831810295194701510e+00,1.046909796964357930e+01
6.552000000000000455e+02,4.783064984818453880e+00,1.053716097561513543e+01
6.588000000000000682e+02,4.734740784886741771e+00,1.060745828832429005e+01
6.623999999999999773e+02,4.686751925276097630e+00,1.067991259546927552e+01
6.660000000000000000e+02,4.639008671151280794e+00,1.075443091780470262e+01
6.696000000000000227e+02,4.591417941003081538e+00,1.083090481429808172e+01
6.732000000000000455e+02,4.543883938878820139e+00,1.090921066095188507e+01
6.768000000000000682e+02,4.496308797386793898e+00,1.098921000276468440e+01
6.803999999999999773e+02,4.448593228006191502e+00,1.107074997797048255e+01
6.840000000000000000e+02,4.400637175201872253e+00,1.115366381336227164e+01
6.876000000000000227e+02,4.352340470828746533e+00,1.123777138917516005e+01
6.912000000000000455e+02,4.303603485314003052e+00,1.132287987167842047e+01
6.948000000000000682e+02,4.254327772126222484e+00,1.140878441130500498e+01
6.983999999999999773e+02,4.204416702079389445e+00,1.149526890383410027e+01
7.020000000000000000e+02,4.153776084075938790e+00,1.158210681183751412e+01
7.056000000000000227e+02,4.102314768966627945e+00,1.166906204330642005e+01
7.092000000000000455e+02,4.049945233295437319e+00,1.175588988409203495e+01
7.128000000000000682e+02,3.996584139804694846e+00,1.184233798052404651e+01
7.163999999999999773e+02,3.942152871698610728e+00,1.192814736831475741e+01
7.200000000000000000e+02,3.886578037801686314e+00,1.201305354361673317e+01
7.236000000000000227e+02,3.829791945901637629e+00,1.209678757187839082e+01
7.272000000000000455e+02,3.771733041733442260e+00,1.217907722993598263e+01
7.308000000000000682e+02,3.712346311241428332e+00,1.225964817659374617e+01
7.343999999999999773e+02,3.651583643948774327e+00,1.233822514677690307e+01
7.380000000000000000e+02,3.589404155467711188e+00,1.241453316419574548e+01
7.416000000000000227e+02,3.525774467397879253e+00,1.248829876733434041e+01
7.452000000000000455e+02,3.460668943083817339e+00,1.255925124347473520e+01
7.488000000000000682e+02,3.394069877934191570e+00,1.262712386538758658e+01
7.523999999999999773e+02,3.325967643244099659e+00,1.269165512526383388e+01
7.560000000000000000e+02,3.256360782706390733e+00,1.275258996042923521e+01
7.596000000000000227e+02,3.185256061046971343e+00,1.280968096537473322e+01
7.632000000000000455e+02,3.112668464471857188e+00,1.286268958465133494e+01
7.668000000000000682e+02,3.038621152868230979e+00,1.291138728121782542e+01
7.703999999999999773e+02,2.963145363957429002e+00,1.295555667489385065e+01
7.740000000000000000e+02,2.886280269852844693e+00,1.299499264565918999e+01
7.776000000000000227e+02,2.808072786729127746e+00,1.302950339665203039e+01
7.812000000000000455e+02,2.728577338559425414e+00,1.305891147185514534e+01
7.848000000000000682e+02,2.647855576123553600e+00,1.308305472361730182e+01
7.883999999999999773e+02,2.565976052730535972e+00,1.310178722533897577e+01
7.920000000000000000e+02,2.483013858332778323e+00,1.311498012485439979e+01
7.956000000000000227e+02,2.399050213935052689e+00,1.312252243426655696e+01
7.992000000000000455e+02,2.314172028418204352e+00,1.312432175223599629e+01
8.028000000000000682e+02,2.228471420104018552e+00,1.312030491498844320e+01
8.063999999999999773e+02,2.142045205582942202e+00,1.311041857258788035e+01
8.100000000000000000e+02,2.054994358509242502e+00,1.309462968732103327e+01
8.136000000000000227e+02,1.967423441237754034e+00,1.307292595135385227e+01
8.172000000000000455e+02,1.879440012331862198e+00,1.304531612115008876e+01
8.208000000000000682e+02,1.791154013112704391e+00,1.301183026648439167e+01
8.243999999999999773e+02,1.702677136544261227e+00,1.297251993223668798e+01
8.280000000000000000e+02,1.614122181857075899e+00,1.292745821151872931e+01
8.316000000000000227e+02,1.525602398404570570e+00,1.287673972905695408e+01
8.352000000000000455e+02,1.437230822319295775e+00,1.282048053413549304e+01
8.388000000000000682e+02,1.349119609592011937e+00,1.275881790278880423e+01
8.423999999999999773e+02,1.261379369233579073e+00,1.269191004932237554e+01
8.460000000000000000e+02,1.174118500198099824e+00,1.261993574763096326e+01
8.496000000000000227e+02,1.087442535745404504e+00,1.254309386317546959e+01
8.532000000000000455e+02,1.001453498901819561e+00,1.246160279686925776e+01
8.568000000000000682e+02,9.162492726400217613e-01,1.237569984251169863e+01
8.603999999999999773e+02,8.319229883420088401e-01,1.228564045978862218e+01
8.640000000000000000e+02,7.485624360338460903e-01,1.219169746523467879e+01
8.676000000000000227e+02,6.662494997872679958e-01,1.209416014391974414e+01
8.712000000000000455e+02,5.850596215717057680e-01,1.199333328497868223e+01
8.748000000000000682e+02,5.050612967115696295e-01,1.188953614444931794e+01
8.783999999999999773e+02,4.263156039578906986e-01,1.178310133921618785e+01
8.820000000000000000e+02,3.488757730216780484e-01,1.167437367617528743e+01
8.856000000000000227e+02,2.727867922391111755e-01,1.156370892103698367e+01
8.892000000000000455e+02,1.980850588468645868e-01,1.145147251146852518e+01
8.928000000000000682e+02,1.247980741403273697e-01,1.133803821954306557e+01
8.963999999999999773e+02,5.294418556911784784e-02,1.122378676870736314e+01
9.000000000000000000e+02,-1.746762240564650112e-02,1.110910441070473809e+01
9.036000000000000227e+02,-8.643788710863953284e-02,1.099438146809159811e+01
9.072000000000000455e+02,-1.539767747686092980e-01,1.088001084816425035e+01
9.108000000000000682e+02,-2.201041348825746591e-01,1.076638653426751091e+01
9.143999999999999773e+02,-2.848495010163563657e-01,1.065390206058558675e+01
9.180000000000000000e+02,-3.482520375031966653e-01,1.054294897661990049e+01
9.216000000000000227e+02,-4.103604317778713484e-01,1.043391530763606312e+01
9.252000000000000455e+02,-4.712327323626070985e-01,1.032718401741315439e+01
9.288000000000000682e+02,-5.309361328016276582e-01,1.022313147965265046e+01
